nume,sugestie
Ac jiglor,
Acoperire bara protectie,Elemente decorative bara protecție
Acoperire far,Ornament far
Acoperire faruri,Ornament far
Acoperire faruri ceata,Grila proiector ceață
Acoperire fata,"Panou față, Trager"
Acoperire grila radiator,"Ornament grilă radiator, Ramă grilă radiator"
Acoperire oglinda exterioara,Capac oglindă exterioară
Acoperire pedala pedala frana,Cauciuc pedală frână
acoperire spoiler fata,Bandou bara față
Acoperire stop spate,"Catadioptru, Reflector, Dispersor lampa spate"
acumulator presiune, acumulator presiune suspensie reglabilă
acumulator presiune suspensie, acumulator presiune suspensie reglabilă
Adaptor bricheta ,
Adaptor conducte frâna,
adaptor filament electric,
Adaptor marire chlichet,
Adaptor priza, Adaptor electric priza cârlig tractare
Adeziv,
Aditiv combustibil,
Aditiv ulei cutie viteze,
Aditiv ulei hidraulic,
Aditiv ulei motor,
Amortizor,Amortizor suspensie
Amortizor capota, Amortizor (arc cu gaz) capotă
Amortizor de legatura inst de injectie,
Amortizor deflector aer,
Amortizor directie,Amortizor (casetă) direcție
Amortizor frana parcare actionata cu piciorul,
Amortizor gaz capac cutie scule, Amortizor (arc cu gaz) cutie scule camion
Amortizor luneta, Amortizor (arc cu gaz) lunetă
Amortizor portbagaj, Amortizor (arc cu gaz) portbagaj
Amortizor reglaj scaun,
Amortizor soc bara protectie,
Amortizor sunet sistem compresor ,
Amortizor suspensie cabina, Amortizor camion pentru suspensie cabina
Amortizor torpedou,
Amortizor vibratii ,
amortizor vibratii cardan ,
Amortizor vibratii curea distributie,
Amortizor vibratii curea transmisie cu caneluri,
Amortizor zgomot mijloc spate,Toba eșapament mijloc-spate
Amplificare frane,Amplificare (Tulumba) pompa frână
Ansamblu burduf articulatie planetara,Burduf planetara cu coliere
Ansamblu burduf directie, Burduf caseta direcție cu coliere
Ansamblu miez turbo,
Antena,
Antigel,
Anvelope,
APA DEMINERALIZATA,Redresor  baterie ( încărcător intermitent)
aparat de incarcat bateria de acumulatori,
Aparat de masurat emisiile,Senzor NOX
Aparat de verificat incarcat presiune aer roti, Compresor umflare roti
aparatoare noroi,
aplicator,
arbore auxiliar mecanism schimbare viteze,
Arbore diferential,
arbore tahometru,Cablu kilometraj
Arc amortizor zgomot,Arc fixare tevi eșapament
Arc pedal ambreiaj, Arc pedală ambreiaj
Arc pneumatic directie,Perna aer pentru suspensie
Arc reglaj poziție,
arc retinere,Siguranță fixare furtun/conductă
Arc sabot frâna,
Arc spiral," Arc suspensie, spiral"
Arc spirala Airbag,Spirala airbag
Aripa,
Aripa interioara,"Carenaj noroi aripă, din plastic"
Articulatie axiala cap de bara,"Bieletă de direcție, cu sau fără cap de bară"
Articulatie bara directie,Bară direcție
Articulatie cabina,Bucșă pentru cabina camion
Articulatie cardan," Articulatie cardan, flanșă sau cruce cardan"
Articulatie coloana de directie," Articulatie coloana volan, cruce sau flanșa cauciuc"
Articulatie directie suspensie roata,"Fuzetă, portfuzetă"
Articulatie levier schimbare viteze, Articulatie manetă schimbator viteze
Articulatie parghie cot,Pivot suspensie
Articulatie planetara,Cap planetară
Articulatie sarcina ghidare,Pivot suspensie
Articulatie sferica senzor cursa ,"Cap de bară, altele"
Articulatie sferica traversa ax ,"Cap de bară, altele"
articulatie unghiulara,Cap de bară
Ax cardanic antrenarea arborelui,Cardan
Ax cu came,
Ax frana frana tambur," Ax frana camion, frâna tambur"
ax intermediar, ax intermediar planetară
Axul fuzetei ,
Baie ulei, Baie ulei motor
Baie ulei cutie viteze automata,
Balama capota motor,
Balama clapeta compartiment depozitare,
banda adeziva ,
Banda cauciuc sistem de esapament ,
Banda de protectie bara de protectie,Bandou bara de protecția
Bandou aripa,
bara directie,
bara stabilizatoare suspensie,
Baterie agregat,
Baterie de alimentare,Baterie telecomandă (buton)
baterie de pornire,"Baterie de pornire, acumulator"
Bec far de lucru,
Bec far faza lunga,
Bec far pentru viraje ,
Bec far principal,
Bec iluminare compartiment motor ,
Bec iluminare demarcare avertizare,
Bec iluminare portbagaj,
Bec incandescent,
bec incandescent bec lumina zi,
Bec incandescent lumin de drum de zi,
Bec incandescent lumin de zi de pozi ie,
Bec lampa ceata spate,
Bec lampa frâna,
Bec lampa mers inapoi ,
Bec lampa spate,
Bec lumina aditionala frâna,
Bec lumina ceata frana,
Bec lumina citire,
Bec lumina portiera,
Bec lumina securitate usa,
Bec lumina torpedou,
bec lumini de stationare,
Bec lumini interioare,
Bec proiector ceata,
Bec semnalizator,
biela,Biela piston motor
biela compresor aer,Biela pentru compresorul instalației de aer comprimat a camioanelor
Bieleta directie,
Bloc lumini de control,Bloc lumini
Blocaj volan,
Bobina ambreiaj magnetic compresor,Bobina ambreiaj magnetic compresor de aer condiționat
bobina de inductie,
Boc supape suspensie pneumatica,
Bolt arc ,
bolt de siguranta ,
Bolt fixare stabilizator,
Bolt furca actionare ,
bolt principal ,
Bolt roata,Prezoane roată
Bolt sabot frana ,
boltturi de reglaj sistem de franare,
Bolturi ,
Brat bara de torsiune,"Bară de torsiune, arc suspensie"
Brat bieleta suspensie roata,Brat/Bascula suspensie roată
Brat bieleta suspensie stabilizator,Bieleta antiruliu stabilizatoare
brat stergator parbriz,
Brat suspensie roata,Brat/Bascula suspensie roată
Brat tensionare curea trapezoidala,Brat intindere curea accesorii (trapezoidala)
Brida arc,Brida arc foi
Buc amortizor,Bucsa amortizor
Bucsa,Bucsa suspensie
Bucsa amortizor,Bucsa amortizor
bucsa arbore de directie,
bucsa arbore demaror,
Bucsa arbore frana ,
Bucsa arc,Bucsa arc foi
Bucsa arc foi,Bucsa arc foi
Bucsa arc parabolic,Bucsa arc foi
Bucsa bara directie,
Bucsa bara stabilizatoare,
Bucsa bolt articulatie ax,
Bucsa bolt saboti frâna,
Bucsa brat legătura,
Bucsa cilindru compresor aer,
Bucsa cilindru tilt cabina,
Bucsa de ghidare chiulasa,
Bucsa lagare cabina sofer,
bucsa levier schimbare viteze,Bucsa schimbator viteza
Bucsa levier schimbator viteza,Bucsa schimbator viteza
bucsa mecanism de remorcare ,
Bucsa ochi arc,Bucsa arc foi
Bucsa sudura,
Bucsa suport arc ,
Bucsa suport diuza,
Bujie incandescenta,
Bujie incandescenta incalzire auxiliara,
Bujii,
Burduf cauciuc articulatie planetara,Burduf planetara
Burduf cauciuc directie,Burduf caseta direcție
Burduf cauciuc suport motor,
Burduf ghidaj etrier ,Burduf culisa etrier 
Burduf sistem oglinzi ,
Burduf suspensie cabina sofer,
Burduf suspensie pneumatica,Perna aer pentru suspensie
buson bloc motor,
Buson capac ,
buson radiator,
buson rezervor de combustibil,
Buson rezervor injectie aditiv,Buson rezervor aditiv AdBlue filtru de particule
buson rezervor lichid de spalare parbriz,
buson umplere ulei,buson umplere ulei motor
buson vas expansiune,
buton,
buton de inchidere,
buton pt regl inaltimii scaunului,
Butuc roata,Butuc roata
Butuc roata corp axa,Butuc roata
C rlig de siguran nchiz toare capot motor,Siguranța capota motor
Cablaj,
cablaj lumini spate,cablaj electric lumini spate
Cablaj proiector ceata,Cablaj electric proiector ceata
Cablu acceleratie,
Cablu adaptor stopuri ,
Cablu ambreiaj,
Cablu conectare,
Cablu conexiune sensor ax came ,Cablu electric senzor ax came 
Cablu deblocare usi ,
Cablu electric ,
Cablu fixare clapete cutie scule,
Cablu frana de parcare,Cablu frana de mana
cablu infasurat,
Cablu legatura frana electronica,
Cablu prelungitor senzor asistenta parcare ,
Cablu reglaj coloana directie ,
Cablu tractare ,
cablu transmisie manuala,Cabluri timonerie schimbător cutie 
cabluri ajutor start,Cabluri pornire 
Camasa cilindru ,Camasi pistoane motor
Camasa colier ,
Camasa filetata picior suspensie,
Camasa lagar trapez,
Camera,
Cap cheie tubulara,
Cap de bara,
Cap de cuplare,
Capac ax cama frana,Capac ax cama frâna pentru camion
Capac brat stergator parbriz,Capac surub prindere braț stergator parbriz
capac butuc Roata,capac rulment butuc Roata
Capac carcasa filtru ulei,Capac cartus filtru ulei
Capac carlig remorcare,Capac în bara peste gaura cuiului de remorcare
Capac conector bolt principal,
Capac culbutor,
Capac curea dintata,Capac protecția curea distributie
capac de protectie butuc roata,capac rulment butuc Roata
capac distribuitor,Capac delcou
capac distributie bloc motor ,"Separator ulei, Filtru epurator ulei ? FEBI BILSTEIN 47338"
Capac filtru combustibil ,Capac cartuș  filtru mtorină 
capac flansa sistem de racire,
Capac flansa transmisie automata,
Capac flansa transmisie manuala,
capac inchidere rezervorde compensare servodirectie,Bușon rezervor (vas) lichid servodirectie
Capac maner usa,
Capac piulita roata ,
Capac protectie Burduf amortizor,Burduf protecția amortizor
Capac punte suport arc,
Capac releu demaror,
capac rulment roata,capac rulment butuc Roata
capac suport oglinda exterioara,
capac tambur de frana,
Capota motor,
Captor apa sistem compresor,
carcasa,
Carcasa amortizor cabina sofer ,
Carcasa clapeta,Carcasa clapeta accelerație
carcasa distributie,
Carcasa galerie admisie,Carcasa galerie admisie
Carcasa oglinda exterioara,
Carcasa stecher ,
Carcasa stecher unitate comanda transmisie automata,
carcasa termostat,
carenaj cpasaj roata,carenaj roata (pasaj interior din plastic)
Caseta directie,
Catalizator,
cauciuc lamela stergator ,
cheder usa,
Cheie bujii ,
Cheie cu clichet,
Cheie cu clichet inelara dubla,
Cheie fixa inelara ,
chit accesorii culbutori,
Chit de reparatie levier revers directie ,
chit lant de distributie,chit lant de distributie și patine
chit protectie praf amortizor,
chit reparatie ambreiaj automat,chit reparatie sector dintat cablu ambreiaj cu reglare automata
Chit reparatie articulatie sarcina ghidare,Chit reparatie pivot suspensie
chit reparatie bieleta antiruliu,chit reparatie bieleta antiruliu
Chit reparatie brat,Chit reparatie braț suspensie
Chit reparatie distribuitor aprindere,Chit reparatie delcou
chit reparatie injectoare ,chit reparatie injectoare 
Chit sina de ghidare lant distributie ,Patine lanț distributie
chiulasa,Chiulasa motor
chiulasa compresor,chiulasa compresor pentru sistemul de aer comprimat al suspensiei
Cilindru bariera cutie viteza,Cilindru bariera cutie viteza camion
Cilindru basculare cabina sofer ,Cilindru basculare cabina sofer la camioane
cilindru de,
Cilindru de frana pretensionat cu arc,Cilindru de frâna pentru camion
cilindru de inchidere aprindere,Butuc cheie contact
cilindru de lucru,
cilindru de lucru reglaj,
Cilindru inchidere,Butuc broască ușă
cilindru lucru frana motor,cilindru lucru frana motor camion
cilindru multifunctional,cilindru multifunctional camion
cilindru receptor ambreiaj,
cilindru receptor frana,
cilindru receptor frana cu membrana,Cilindru de frâna pentru camion
cilindru receptor servodirectie,cilindru receptor servodirectie pentru camion
cilindru strangere senzor viteza,Clema fixare senzor
clapeta control admisie aer,Supapa admisie aer
clapeta de inchidere supracurgere combustibil,
clapeta sistem evacuare frana motor,
clapetaevacuare,
claxon,
clem de prindere capitonaj,Clipsuri auto
Clem de prindere capitonaj u,Clipsuri auto
clem de prindere scut de protec ie,Clipsuri auto
clema fixare geam,Clema macara geam
clema pol baterie,Borna baterie
cleste cu banda,
cleste greautati de echilibrare,
cleste ptr sigurante,
cleste stecher bujii incandescente,
clip,Clipsuri auto
clips acoperire decorativa si protectie,Clipsuri auto
clips prindere tapiterie interioara,Clipsuri auto
cocos blocare,
colier,
colier de fixare,
colier furtun,
colier sistem de esapament,
colier toba esapament,
Coloana directie,"Ax volan,coloana volan"
commtator indicator cabina deschisa,
Compresor climatizare,"compresor climatizare, aer condiționat"
compresor instalatie aer comprimat,compresor instalatie aer comprimat pentru camion
Compresor sistem de supraalimentare,"Turbina, turbosuflanta"
comutator,
Comutator actionare ambreiaj,
Comutator actionare ambreiaj comanda motor,Comutator pedala ambreiaj
comutator actionare ambreiaj febi,Comutator pedala ambreiaj
Comutator actionare ambreiaj Tempomat,Comutator pedala ambreiaj
Comutator actionare frana de parcare,Comutator frâna de mana
Comutator aprindere,Aprindere electronică
comutator claxon,Buton claxon
Comutator coloana directie,Maneta semnalizare
